Steps,Cols,Threads,P3-keccak(AVX512),P3-keccak,Winterfell-blake,P3-poseidon(avx512),p3-poseidon,wf-rpo,P3-keccak(AVX512-Monty),P3-keccak(Monty),P3-poseidon(avx512-Monty),p3-poseidon(Monty)
65536,40,1,1171,1540,2605,5700,9949,51329,,,,,
65536,40,2,624,802,1325,2998,5044,,,,,,
65536,40,4,351,433,711,1534,2626,,,,,,
65536,40,8,210,264,442,893,1433,,454,445,2450,3020
65536,40,16,179,201,343,539,838,,310,328,1370,
65536,80,1,1545,2121,4445,8114,14454,80563,,,,,
65536,80,2,837,1085,2314,4295,7341,,,,,,
65536,80,4,452,587,1225,2135,3783,,,,,,
65536,80,8,277,343,739,1178,2001,,599,602,3470,4320
65536,80,16,225,266,576,699,1133,,420,407,1900,
1048576,40,1,21065,26870,47616,93061,160996,823188,,,,,
1048576,40,2,11217,14257,24682,48992,82787,,,,,,
1048576,40,4,6318,7658,13469,25069,42626,,,,,,
1048576,40,8,3850,4417,8201,14121,23210,,7800,7950,39600,49100
1048576,40,16,2797,3064,5748,8498,13135,,4770,4920,22000,
1048576,80,1,30366,38623,82532,137302,234200,,,,,,
1048576,80,2,15942,19901,43130,70086,119171,,,,,,
1048576,80,4,8744,10508,23445,35979,61616,,,,,,
1048576,80,8,5188,6063,13909,19923,33067,,10900,11100,57000,71000
1048576,80,16,3568,4029,9052,11502,18300,,6570,6790,31500,
